Food Name	Measure	Weight (g)	Energy (kcal)	Energy (kJ)	Protein (g)	Carbohydrate (g)	Total Sugar (g)	Total Dietary Fibre (g)	Total Fat (g)	Saturated Fat (g)	Cholesterol (mg)	Calcium (mg)	Iron (mg)	Sodium (mg)	Potassium (mg)	Magnesium (mg)	Phosphorus (mg)	Vitamin A (RAE)	Vitamin C (mg)	Vitamin B12 (mcg)	Caffeine (mg)
Brown sugar	5 mL	5	18	73	0	5	4	0	0	0	0	4	0.1	2	16	1	1	0	0	0	0
Honey	5 mL	7	22	91	tr	6	6	tr	0	0	0	tr	tr	tr	4	tr	tr	0	tr	0	0
Icing sugar (powdered)	5 mL	3	10	41	0	2	2	0	tr	0	0	tr	tr	tr	0	0	0	0	0	0	0
Sugar substitute, aspartame (Equal™)	1 packet	1	4	15	tr	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sugar substitute, sucralose (Splenda™)	5 mL	1	2	7	0	tr	tr	0	0	0	0	0	0	0	0	0	0	0	0	0	0
White sugar (granulated)	5 mL	4	16	68	0	4	4	0	0	0	0	tr	0	0	0	0	0	0	0	0	0
Chocolate syrup, thin type	15 mL	20	110	461	1	26	20	1	tr	0.2	0	6	0.8	28	89	26	51	tr	tr	0	6
Corn syrup	15 mL	21	59	249	0	16	6	0	0	0	0	4	0.1	32	9	2	2	0	0	0	0
Maple syrup	15 mL	20	55	230	0	14	12	0	tr	tr	0	22	0.2	2	46	4	tr	0	0	0	0
Molasses	15 mL	21	62	257	0	16	12	0	tr	tr	0	44	1	8	311	51	7	0	0	0	0
Pancake syrup	15 mL	20	47	195	0	12	7	0.1	0	0	0	1	tr	16	3	tr	2	0	0	0	0
Double fruit jam type spread	15 mL	19	42	177	tr	10	9	0.5	tr	0	0	2	0.1	6	N/A	N/A	N/A	N/A	tr	N/A	N/A
Double fruit jam type spread, reduced sugar	15 mL	17	23	95	tr	5	5	0.4	tr	0	0	3	0.1	3	N/A	N/A	N/A	N/A	tr	N/A	N/A
Jams and preserves	15 mL	20	56	234	tr	14	10	0.2	tr	tr	0	4	0.1	6	16	1	4	tr	2	0	0
Jelly	15 mL	21	56	235	tr	15	11	0.2	tr	tr	0	1	tr	6	11	1	1	0	tr	0	0
Marmalade	15 mL	20	50	207	tr	13	12	0.1	0	0	0	8	tr	11	7	tr	1	1	1	0	0
Chocolate topping, fudge-type	30 mL	39	135	564	2	24	13	1.1	3	1.5	1	39	0.6	133	174	25	65	2	tr	0.11	3
Pie filling, cherry, canned	30 mL	25	29	121	tr	7	N/A	0.2	tr	tr	0	3	0.1	5	26	2	4	3	1	0	0
Spread, chocolate hazelnut (Nutella™)	30 mL	38	203	848	2	23	21	2	11	2	0	41	1.6	15	153	24	57	tr	0	0.11	3
Topping or spread, butterscotch	30 mL	42	105	438	1	27	N/A	0.4	tr	tr	tr	22	0.1	145	35	3	20	11	tr	0.04	0
Topping, strawberry	30 mL	43	110	458	tr	29	12	0.3	tr	tr	0	3	0.1	9	22	2	2	tr	6	0	0
Butterscotch	1 piece	5	21	87	tr	5	4	0	tr	0.1	tr	tr	tr	21	0	tr	tr	1	0	0	0
Candy, chocolate covered, sweetened with sorbitol	1 piece	5	29	120	1	2	1	0.2	2	1.1	1	15	0.1	5	30	5	17	3	tr	0.04	tr
Caramel	4	40	154	646	2	31	26	0.5	3	2.7	3	56	0.1	99	86	7	46	tr	tr	0	0
Chewing gum	1 stick	3	7	31	0	2	2	0.1	tr	tr	0	0	0	tr	0	0	0	0	0	0	0
Chewing gum, sugarless	1 stick	2	5	22	0	2	0	tr	tr	tr	0	tr	0	tr	0	0	0	0	0	0	0
Fruit leather	1 roll	14	52	217	tr	12	7	0.5	tr	0.1	0	4	0.1	44	41	3	4	1	17	0	0
Fudge, chocolate, homemade	1 piece	17	70	292	tr	13	13	0.3	2	1	2	8	0.3	8	22	6	12	7	0	0.02	1
Fudge, vanilla, homemade	1 piece	22	84	353	tr	18	18	0	1	0.6	3	7	tr	11	10	1	6	10	0	0.02	0
Gumdrops	10 pieces	36	143	596	0	36	21	tr	0	0	0	1	0.1	16	2	tr	tr	0	0	0	0
Hard candy	1	6	24	99	0	6	4	0	tr	0	0	tr	tr	2	0	tr	tr	0	0	0	0
Hard candy, reduced sugar	1	3	11	47	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jellybeans	10 beans	28	105	439	0	26	20	0.1	tr	0	0	1	tr	14	10	1	1	0	0	0	0
Licorice, strawberry (Twizzlers™)	3 strips	38	132	553	1	30	15	0	1	0	0	0	0.2	108	N/A	N/A	N/A	0	0	0	0
Marshmallows	1	7	23	96	tr	6	4	tr	tr	tr	0	tr	tr	6	0	tr	1	0	0	0	0
Sesame crunch (sesame snap)	4 pieces	35	181	757	4	18	11	2.8	12	1.6	0	229	1.5	58	113	88	148	0	tr	0	0
Skittles™	10 candies	11	43	181	tr	10	8	0	tr	0.1	0	0	tr	2	1	tr	tr	0	7	0	0
Toffee	1 piece	12	67	281	tr	8	8	0	4	2.5	12	4	tr	16	6	tr	4	38	tr	0.01	0
Almonds, chocolate covered	10	32	180	752	4	15	12	1.4	12	4.8	4	64	0.8	16	N/A	N/A	N/A	0	0	N/A	N/A
Caramel coated cookies, chocolate covered (Twix™)	1 package	58	289	1210	3	38	28	0.6	14	5.2	3	52	0.5	112	110	19	63	13	tr	0.17	2
Caramel with nuts, chocolate covered (Turtles™)	2	28	132	550	3	17	12	1.2	6	1.3	0	22	0.5	7	125	23	46	12	tr	0	5
Caramel, chocolate covered (Rolo™, Caramilk™)	1 bar	52	246	1031	3	35	33	0.5	11	7.5	6	75	0.2	98	98	0	37	18	tr	0.14	2
